Name,Location,ID,GRID_ID,fuzz,Manual_GRID,,,,,,
University of New South Wales,australia,University-of-New-South-Wales,-1,86,grid.1005.4,,,,,,
Industrial Physics and Chemistry Higher Educational Institution - Paris,france,Industrial-Physics-and-Chemistry-Higher-Educational-Institution---Paris,-1,86,grid.15736.36,,,,,,
Dresden University of Technology,germany,Dresden-University-of-Technology,-1,86,grid.4488.0,,,,,,
University of Provence (Aix-Marseille 1),france,University-of-Provence-(Aix-Marseille-1),-1,86,grid.5399.6,,,,,,
Ecole National Superieure Mines - Paris,france,Ecole-National-Superieure-Mines---Paris,-1,86,grid.58140.38,,,,,,
University of Versailles,france,University-of-Versailles,-1,86,grid.7901.f,,,,,,
University of Tromso,norway,University-of-Tromso,-1,89,grid.10919.30,,,,,,
State University of New York at Stony Brook,unitedstates,State-University-of-New-York-at-Stony-Brook,grid.189747.4,90,grid.36425.36,,,,,,
The University of Connecticut - Storrs,unitedstates,The-University-of-Connecticut---Storrs,grid.63054.34,90,grid.63054.34,,,,,,
"Queen Mary, U. of London",unitedkingdom,Queen-Mary-U-of-London,grid.4868.2,90,grid.4868.2,,,,,,
University of Kansas - Lawrence,unitedstates,University-of-Kansas---Lawrence,grid.266515.3,90,grid.266515.3,,,,,,
The University of Montana - Missoula,unitedstates,The-University-of-Montana---Missoula,grid.253613.0,90,grid.253613.0,,,,,,
Curtin University of Technology,australia,Curtin-University-of-Technology,grid.1032.0,90,grid.1032.0,,,,,,
Vrije University Brussel,belgium,Vrije-University-Brussel,grid.8767.e,92,grid.8767.e,,,,,,
University Libre Bruxelles,belgium,University-Libre-Bruxelles,grid.4989.c,93,grid.4989.c,,,,,,
The Johns Hopkins University,unitedstates,The-Johns-Hopkins-University,grid.21107.35,95,grid.21107.35,,,,,,
University of Heidelberg,germany,University-of-Heidelberg,grid.7700.0,95,grid.7700.0,,,,,,
Arizona State University - Tempe,unitedstates,Arizona-State-University---Tempe,grid.215654.1,95,grid.215654.1,,,,,,
Mount Sinai School of Medicine,unitedstates,Mount-Sinai-School-of-Medicine,grid.59734.3c,95,grid.59734.3c,,,,,,
The University of Alabama at Birmingham,unitedstates,The-University-of-Alabama-at-Birmingham,grid.265892.2,95,grid.265892.2,,,,,,
University of Durham,unitedkingdom,University-of-Durham,grid.8250.f,95,grid.8250.f,,,,,,
State University of New York at Buffalo,unitedstates,State-University-of-New-York-at-Buffalo,grid.189747.4,95,grid.273335.3,,,,,,
Washington State University - Pullman,unitedstates,Washington-State-University---Pullman,grid.30064.31,95,grid.30064.31,,,,,,
State University of New York at Albany,unitedstates,State-University-of-New-York-at-Albany,grid.189747.4,95,grid.265850.c,,,,,,
University of Bielefeld,germany,University-of-Bielefeld,grid.7491.b,95,grid.7491.b,,,,,,
University of Maastricht,netherlands,University-of-Maastricht,grid.5012.6,95,grid.5012.6,,,,,,
University of Newcastle,australia,University-of-Newcastle,grid.266842.c,95,grid.266842.c,,,,,,
University of Paris Dauphine (Paris 9),france,University-of-Paris-Dauphine-(Paris-9),grid.11024.36,95,grid.11024.36,,,,,,
University of Pompeu Fabra,spain,University-of-Pompeu-Fabra,grid.5612.0,95,grid.5612.0,,,,,,
Montana State University - Bozeman,unitedstates,Montana-State-University---Bozeman,grid.41891.35,95,grid.41891.35,,,,,,
The University of Connecticut Health Center,unitedstates,The-University-of-Connecticut-Health-Center,grid.208078.5,95,grid.208078.5,,,,,,
University of Montpellier 2,france,University-of-Montpellier-2,grid.121334.6,96,grid.121334.6,,,,,,
London School of Hygiene and Tropical Medicine,unitedkingdom,London-School-of-Hygiene-and-Tropical-Medicine,grid.8991.9,96,grid.8991.9,,,,,,
University of Bordeaux 1,france,University-of-Bordeaux-1,grid.412041.2,96,grid.412041.2,,,,,,
University of Michigan - Ann Arbor,unitedstates,University-of-Michigan---Ann-Arbor,grid.214458.e,97,grid.214458.e,,,,,,
University of Genova,italy,University-of-Genova,grid.5606.5,97,grid.5606.5,,,,,,
Unknown,Unknown,Catholic-University-of-Leuven,1,1,grid.5596.f,,,,,,
Unknown,Unknown,Queens-University,1,1,grid.410356.5,,,,,,
Unknown,Unknown,University-of-Maryland-Baltimore,1,1,grid.266673.0,,,,,,
Unknown,Unknown,Queens-University-Belfast,1,1,grid.4777.3,,,,,,
Unknown,Unknown,University-of-Medicine-and-Dentistry-New-Jersey,1,1,Manual_1,,,,,,
Unknown,Unknown,Henri-Poincare-University-(Nancy-1),1,1,grid.29172.3f,,,,,,
Unknown,Unknown,University-of-the-Mediterranean-(Aix-Marseille-2),1,1,grid.5399.6,,,,,,
Unknown,Unknown,Medical-College-of-Georgia,1,1,Manual_4,,,,,,
Unknown,Unknown,The-Royal-Veterinary-and-Agricultural-University,1,1,grid.5254.6,,,,,,
Unknown,Unknown,Victor-Segalen-Bordeaux-2-University,1,1,grid.412041.2,,,,,,
Unknown,Unknown,University-of-Dortmund,1,1,grid.5675.1,,,,,,
Unknown,Unknown,University-of-Milan,1,1,grid.4708.b,,,,,,
Unknown,Unknown,University-of-Lisbon,1,1,grid.9983.b,,,,,,
