,WorldRank,NationalRank,Name,ARWU_university_ID,Country,TotalScore,Alumni,Award,HiCi,NS,PUB,PCP,item,GRID_ID,fuzz
159,151-202,71-88,Mount Sinai School of Medicine,Mount-Sinai-School-of-Medicine,unitedstates,,0,0,19.6,16,34.5,19.3,,grid.59734.3c,103
160,151-202,1,National Autonomous University of Mexico,National-Autonomous-University-of-Mexico,mexico,,15.6,0,7.4,14.3,48.5,23.5,http://www.wikidata.org/entity/Q222738,grid.9486.3,
161,151-202,1,National Taiwan University,National-Taiwan-University,"taiwan,china",,14.4,0,7.4,10,55.6,16.7,http://www.wikidata.org/entity/Q32746,grid.19188.39,
162,151-202,71-88,Oregon Health and Science University,Oregon-Health-and-Science-University,unitedstates,,0,0,19.6,19,35.7,20.3,http://www.wikidata.org/entity/Q282097,grid.5288.7,
163,151-202,16-23,"Queen Mary, U. of London",Queen-Mary-U-of-London,unitedkingdom,,22.8,0,14.8,13,29.6,23,,grid.4868.2,103
164,151-202,9-May,Radboud University Nijmegen,Radboud-University-Nijmegen,netherlands,,0,0,10.5,21.4,40.6,21.1,http://www.wikidata.org/entity/Q632004,grid.5590.9,
165,151-202,1,Seoul National University,Seoul-National-University,southkorea,,0,0,7.4,13.5,61.4,18.4,http://www.wikidata.org/entity/Q39913,grid.31501.36,
166,151-202,71-88,State University of New York at Stony Brook,State-University-of-New-York-at-Stony-Brook,unitedstates,,0,0,18.2,26.8,38.4,19.2,,grid.36425.36,103
167,151-202,3,Technical University of Denmark,Technical-University-of-Denmark,denmark,,8.3,12.6,16.6,13,30.4,17.8,http://www.wikidata.org/entity/Q1269766,grid.5170.3,
168,151-202,6,The University of Adelaide,The-University-of-Adelaide,australia,,18.6,0,10.5,13.7,35.5,24.7,http://www.wikidata.org/entity/Q15574,grid.1010.0,
169,151-202,71-88,The University of Alabama at Birmingham,The-University-of-Alabama-at-Birmingham,unitedstates,,0,0,16.6,14.8,43.3,23.2,,grid.265892.2,103
170,151-202,71-88,The University of Connecticut - Storrs,The-University-of-Connecticut---Storrs,unitedstates,,14.4,0,16.6,13.7,38.1,19.9,,grid.63054.34,103
171,151-202,71-88,The University of Texas Health Science Center at Houston,The-University-of-Texas-Health-Science-Center-at-Houston,unitedstates,,0,15.5,16.6,19,29.2,18.7,http://www.wikidata.org/entity/Q7896431,grid.267308.8,
172,151-202,71-88,The University of Texas M. D. Anderson Cancer Center,The-University-of-Texas-M-D-Anderson-Cancer-Center,unitedstates,,0,0,22.2,11.3,41.8,21.9,http://www.wikidata.org/entity/Q1525831,grid.240145.6,
173,151-202,1,Tsinghua University,Tsinghua-University,china,,13.2,0,0,11.6,56.3,18,http://www.wikidata.org/entity/Q16955,grid.12527.33,
174,151-202,1,University of Barcelona,University-of-Barcelona,spain,,0,0,7.4,14.9,47.5,22.7,http://www.wikidata.org/entity/Q219615,grid.5841.8,
175,151-202,6,University of Bern,University-of-Bern,switzerland,,15.6,0,10.5,22.4,36.8,27.1,http://www.wikidata.org/entity/Q659080,grid.5734.5,
176,151-202,1,University of Buenos Aires,University-of-Buenos-Aires,argentina,,20.4,25.3,0,7.8,35.7,21,http://www.wikidata.org/entity/Q194223,grid.7345.5,
177,151-202,71-88,University of Cincinnati,University-of-Cincinnati,unitedstates,,0,0,23.4,11.4,44.2,20.3,http://www.wikidata.org/entity/Q153265,grid.24827.3b,
178,151-202,71-88,University of Delaware,University-of-Delaware,unitedstates,,13.2,0,21,12.8,34.2,17,http://www.wikidata.org/entity/Q1068072,grid.33489.35,
179,151-202,16-23,University of Durham,University-of-Durham,unitedkingdom,,0,0,18.2,17.5,34.7,30.6,,grid.8250.f,103
180,151-202,16-23,University of East Anglia,University-of-East-Anglia,unitedkingdom,,16.6,0,16.6,20.4,26.4,29.7,http://www.wikidata.org/entity/Q1045828,grid.8273.e,
181,151-202,12,University of Kiel,University-of-Kiel,germany,,14.4,15.5,10.5,11.9,32.6,18.4,http://www.wikidata.org/entity/Q156737,grid.9764.c,
182,151-202,12,University of Cologne,University-of-Cologne,germany,,0,12.6,7.4,21,38.4,20.8,http://www.wikidata.org/entity/Q54096,grid.6190.e,
183,151-202,16-23,University of Leicester,University-of-Leicester,unitedkingdom,,0,0,19.6,17.9,32.5,29.4,http://www.wikidata.org/entity/Q1333399,grid.9918.9,
184,151-202,12,University of Mainz,University-of-Mainz,germany,,0,8.2,14.8,19.2,37.1,20.3,http://www.wikidata.org/entity/Q161982,grid.5802.f,
185,151-202,71-88,"University of Maryland, Baltimore",University-of-Maryland-Baltimore,unitedstates,,0,0,19.6,14.6,38.1,20.4,http://www.wikidata.org/entity/Q4119470,grid.411024.2,
186,151-202,71-88,University of Miami,University-of-Miami,unitedstates,,0,0,24.6,16.6,40.6,22.9,http://www.wikidata.org/entity/Q738258,grid.26790.3a,
187,151-202,6,University of Montreal,University-of-Montreal,canada,,14.4,0,12.8,11.9,49.5,24.1,http://www.wikidata.org/entity/Q392189,grid.14848.31,
188,151-202,71-88,University of Nebraska - Lincoln,University-of-Nebraska---Lincoln,unitedstates,,22,0,16.6,12.1,36,18,http://www.wikidata.org/entity/Q1353679,grid.24434.35,
189,151-202,6,University of New South Wales,University-of-New-South-Wales,australia,,0,0,19.6,11.7,48.3,21.9,,grid.1005.4,103
190,151-202,4,University of Padua,University-of-Padua,italy,,0,0,12.8,18.3,47.5,17.8,http://www.wikidata.org/entity/Q193510,grid.5608.b,
191,151-202,6,University of Paris Descartes (Paris 5),University-of-Paris-Descartes-(Paris-5),france,,15.1,12,10.5,13.4,32.5,18.1,http://www.wikidata.org/entity/Q1155944,grid.10992.33,
192,151-202,16-23,University of Southampton,University-of-Southampton,unitedkingdom,,0,0,19.6,14.6,42.4,24.7,http://www.wikidata.org/entity/Q76473,grid.5491.9,
193,151-202,16-23,University of St Andrews,University-of-St-Andrews,unitedkingdom,,13.2,0,7.4,24.7,28.8,32.3,http://www.wikidata.org/entity/Q216273,grid.11914.3c,
194,151-202,71-88,University of Tennessee - Knoxville,University-of-Tennessee---Knoxville,unitedstates,,13.2,0,19.6,18.1,40.4,17.4,http://www.wikidata.org/entity/Q1150105,grid.411461.7,
195,151-202,4,University of Turin,University-of-Turin,italy,,20.4,0,10.5,12.8,37.8,16.9,http://www.wikidata.org/entity/Q499911,grid.7605.4,
196,151-202,1,University of Vienna,University-of-Vienna,austria,,19.5,0,7.4,22.3,36.4,20.5,http://www.wikidata.org/entity/Q165980,grid.10420.37,
197,151-202,9-May,University of Wageningen,University-of-Wageningen,netherlands,,0,0,27.7,14.7,37,25.5,http://www.wikidata.org/entity/Q422208,grid.4818.5,
198,151-202,6,University of Waterloo,University-of-Waterloo,canada,,0,0,19.6,11.3,40.6,20.9,http://www.wikidata.org/entity/Q1049470,grid.46078.3d,
199,151-202,71-88,Virginia Commonwealth University,Virginia-Commonwealth-University,unitedstates,,13.2,14.1,18.2,7,33.7,17,http://www.wikidata.org/entity/Q2303536,grid.224260.0,
200,151-202,71-88,Virginia Polytechnic Institute and State University,Virginia-Polytechnic-Institute-and-State-University,unitedstates,,14.4,0,22.2,13.3,40.1,17.8,http://www.wikidata.org/entity/Q65379,grid.438526.e,
201,151-202,9-May,VU University Amsterdam,VU-University-Amsterdam,netherlands,,0,0,22.2,13.9,43.5,22.7,http://www.wikidata.org/entity/Q1065414,grid.12380.38,
