,Rank,Name,score_list,Academic_reputation,Employer_reputation,Faculty_Student,International_Faculty,International_Students,Citations,href,location,QS_World_University_ID,item,GRID_ID,fuzz
568,551-600,Inha University,,,,70.4,,,,/universities/inha-university,South Korea,inha-university,http://www.wikidata.org/entity/Q488851,grid.202119.9,
569,551-600,Johannes Kepler University Linz,,,,,23.3,73.9,21.6,/universities/johannes-kepler-university-linz,Austria,johannes-kepler-university-linz,http://www.wikidata.org/entity/Q682739,grid.9970.7,
570,551-600,Kagoshima University,,,,72.6,,,,/universities/kagoshima-university,Japan,kagoshima-university,http://www.wikidata.org/entity/Q335924,grid.258333.c,
571,551-600,Kanazawa University,,,,55.9,22.1,,,/universities/kanazawa-university,Japan,kanazawa-university,http://www.wikidata.org/entity/Q684783,grid.9707.9,
572,551-600,Keele University,,,,,31.3,57.7,65.1,/universities/keele-university,United Kingdom,keele-university,http://www.wikidata.org/entity/Q1737734,grid.9757.c,
573,551-600,Kumamoto University,,,,62.6,,,,/universities/kumamoto-university,Japan,kumamoto-university,http://www.wikidata.org/entity/Q1148782,grid.274841.c,
574,551-600,Lanzhou University,,,,,58.7,,,/universities/lanzhou-university,China,lanzhou-university,http://www.wikidata.org/entity/Q4475799,grid.32566.34,
575,551-600,National Research Saratov State University,,,,100.0,,,,/universities/national-research-saratov-state-university,Russia,national-research-saratov-state-university,http://www.wikidata.org/entity/Q400422,grid.446088.6,
576,551-600,National Taipei University of Technology,,,,35.5,31.6,26.6,,/universities/national-taipei-university-technology,Taiwan,national-taipei-university-technology,http://www.wikidata.org/entity/Q6978828,grid.412087.8,
577,551-600,"National Technical University of Ukraine ""Igor Sikorsky Kyiv Polytechnic Institute""",,,,65.9,,,,/universities/national-technical-university-ukraine-igor-sikorsky-kyiv-polytechnic-institute,Ukraine,national-technical-university-ukraine-igor-sikorsky-kyiv-polytechnic-institute,http://www.wikidata.org/entity/Q85449,grid.440544.5,
578,551-600,Philipps-Universität Marburg,,,,27.7,23.4,23.1,25.8,/universities/philipps-universitat-marburg,Germany,philipps-universitat-marburg,http://www.wikidata.org/entity/Q155354,grid.10253.35,
579,551-600,Universidad Politécnica de Madrid,,,43.1,27.2,,,33.4,/universities/universidad-politecnica-de-madrid,Spain,universidad-politecnica-de-madrid,http://www.wikidata.org/entity/Q25864,grid.5690.a,
580,551-600,Rhodes University,,,,,43.1,,80.6,/universities/rhodes-university,South Africa,rhodes-university,http://www.wikidata.org/entity/Q377757,grid.91354.3a,
581,551-600,Sichuan University,,,,26.2,29.3,,,/universities/sichuan-university,China,sichuan-university,http://www.wikidata.org/entity/Q2281517,grid.13291.38,
582,551-600,South China University of Technology,,,,,65.2,,,/universities/south-china-university-technology,China,south-china-university-technology,http://www.wikidata.org/entity/Q835366,grid.79703.3a,
583,551-600,Southern Federal University,,,,81.2,,,,/universities/southern-federal-university,Russia,southern-federal-university,http://www.wikidata.org/entity/Q2065921,grid.182798.d,
584,551-600,Syracuse University,,,,,28.9,,66.4,/universities/syracuse-university,United States,syracuse-university,http://www.wikidata.org/entity/Q617433,grid.264484.8,
585,551-600,TU Dortmund University,,,45.6,,,19.3,,/universities/tu-dortmund-university,Germany,tu-dortmund-university,http://www.wikidata.org/entity/Q685557,grid.5675.1,
